"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2017","6,184.57","6,184.57","6,184.57","6,184.57","-","0.57%"
"Sep 12, 2017","6,149.39","6,149.39","6,149.39","6,149.39","-","-0.03%"
"Sep 11, 2017","6,151.20","6,151.20","6,151.20","6,151.20","-","-0.26%"
"Sep 10, 2017","6,167.49","6,167.49","6,167.49","6,167.49","-","0.86%"
"Sep 07, 2017","6,114.98","6,114.98","6,114.98","6,114.98","-","0.75%"
"Sep 06, 2017","6,069.17","6,069.17","6,069.17","6,069.17","-","-0.23%"
"Sep 05, 2017","6,083.00","6,083.00","6,083.00","6,083.00","-","0.74%"
"Sep 04, 2017","6,038.37","6,038.37","6,038.37","6,038.37","-","0.53%"
"Aug 31, 2017","6,006.43","6,006.43","6,006.43","6,006.43","-","0.54%"
"Aug 30, 2017","5,973.94","5,973.94","5,973.94","5,973.94","-","0.43%"
"Aug 29, 2017","5,948.50","5,948.50","5,948.50","5,948.50","-","0.02%"
"Aug 28, 2017","5,947.24","5,947.24","5,947.24","5,947.24","-","0.54%"
"Aug 27, 2017","5,915.42","5,915.42","5,915.42","5,915.42","-","0.51%"
"Aug 24, 2017","5,885.42","5,885.42","5,885.42","5,885.42","-","0.50%"
"Aug 23, 2017","5,855.87","5,855.87","5,855.87","5,855.87","-","-0.11%"
"Aug 22, 2017","5,862.33","5,862.33","5,862.33","5,862.33","-","0.31%"
"Aug 21, 2017","5,844.10","5,844.10","5,844.10","5,844.10","-","0.43%"
"Aug 20, 2017","5,819.27","5,819.27","5,819.27","5,819.27","-","-0.71%"
"Aug 17, 2017","5,861.11","5,861.11","5,861.11","5,861.11","-","-0.38%"
"Aug 16, 2017","5,883.24","5,883.24","5,883.24","5,883.24","-","-0.65%"
"Aug 13, 2017","5,921.59","5,921.59","5,921.59","5,921.59","-","0.34%"
"Aug 10, 2017","5,901.80","5,901.80","5,901.80","5,901.80","-","0.20%"
"Aug 09, 2017","5,890.12","5,890.12","5,890.12","5,890.12","-","-0.13%"
"Aug 08, 2017","5,897.67","5,897.67","5,897.67","5,897.67","-","-0.27%"
"Aug 07, 2017","5,913.59","5,913.59","5,913.59","5,913.59","-","0.10%"
"Aug 06, 2017","5,907.62","5,907.62","5,907.62","5,907.62","-","0.46%"
